Folder,Program,Time
complex_operations,flatmap_distinct_count.py,248.4614176750183
complex_operations,flatmap_distinct_count.py,143.51473689079285
complex_operations,flatmap_distinct_count.py,131.64915800094604
complex_operations,flatmap_distinct_count.py,133.99287104606628
complex_operations,flatmap_distinct_count.py,131.74140810966492
complex_operations,flatmap_distinct_count.py,133.81891179084778
complex_operations,flatmap_distinct_count.py,163.3878264427185
complex_operations,flatmap_distinct_count.py,129.89778327941895
complex_operations,flatmap_distinct_count.py,151.17031145095825
complex_operations,flatmap_distinct_count.py,154.03438138961792
complex_operations,flatmap_filter_sort.py,157.71549153327942
complex_operations,flatmap_filter_sort.py,102.38158822059631
complex_operations,flatmap_filter_sort.py,98.75076723098755
complex_operations,flatmap_filter_sort.py,86.61289405822754
complex_operations,flatmap_filter_sort.py,104.62803244590759
complex_operations,flatmap_filter_sort.py,96.06794881820679
complex_operations,flatmap_filter_sort.py,130.36742305755615
complex_operations,flatmap_filter_sort.py,86.29233169555664
complex_operations,flatmap_filter_sort.py,106.7415144443512
complex_operations,flatmap_filter_sort.py,112.12056064605713
complex_operations,map_distinct_sort.py,116.49138116836548
complex_operations,map_distinct_sort.py,104.18229675292969
complex_operations,map_distinct_sort.py,99.96933817863464
complex_operations,map_distinct_sort.py,107.08518719673157
complex_operations,map_distinct_sort.py,105.16785502433777
complex_operations,map_distinct_sort.py,105.29822897911072
complex_operations,map_distinct_sort.py,106.81861996650696
complex_operations,map_distinct_sort.py,86.76544284820557
complex_operations,map_distinct_sort.py,101.66593813896179
complex_operations,map_distinct_sort.py,102.72524118423462
nested_operations,flatmap.py,103.83995056152344
nested_operations,flatmap.py,106.55090570449829
nested_operations,flatmap.py,115.06988430023193
nested_operations,flatmap.py,126.62991285324097
nested_operations,flatmap.py,134.15956497192383
nested_operations,flatmap.py,122.32431077957153
nested_operations,flatmap.py,156.30898785591125
nested_operations,flatmap.py,98.31915307044983
nested_operations,flatmap.py,112.30494713783264
nested_operations,flatmap.py,139.02179431915283
nested_operations,flatmap_count.py,90.74772095680237
nested_operations,flatmap_count.py,79.60113215446472
nested_operations,flatmap_count.py,85.37770819664001
nested_operations,flatmap_count.py,110.69912624359131
nested_operations,flatmap_count.py,96.63175773620605
nested_operations,flatmap_count.py,78.92520761489868
nested_operations,flatmap_count.py,129.76661157608032
nested_operations,flatmap_count.py,76.91526961326599
nested_operations,flatmap_count.py,85.63474416732788
nested_operations,flatmap_count.py,108.51819109916687
nested_operations,join.py,141.0841600894928
nested_operations,join.py,118.2371165752411
nested_operations,join.py,138.1398046016693
nested_operations,join.py,175.3706085681915
nested_operations,join.py,105.00148677825928
nested_operations,join.py,179.91907382011414
nested_operations,join.py,205.2119348049164
nested_operations,join.py,111.36019706726074
nested_operations,join.py,140.36875414848328
nested_operations,join.py,158.09078907966614
nested_operations,union.py,71.88963270187378
nested_operations,union.py,66.9129650592804
nested_operations,union.py,69.17378091812134
nested_operations,union.py,91.88921117782593
nested_operations,union.py,74.26891088485718
nested_operations,union.py,97.73414278030396
nested_operations,union.py,111.02894902229309
nested_operations,union.py,78.40880298614502
nested_operations,union.py,101.55833506584167
nested_operations,union.py,93.25191569328308
nested_operations,union_count.py,56.12703037261963
nested_operations,union_count.py,49.6004056930542
nested_operations,union_count.py,46.435638666152954
nested_operations,union_count.py,56.977699756622314
nested_operations,union_count.py,57.43632483482361
nested_operations,union_count.py,48.11686110496521
nested_operations,union_count.py,67.0781364440918
nested_operations,union_count.py,61.79052209854126
nested_operations,union_count.py,75.7035059928894
nested_operations,union_count.py,55.32266068458557
simple_operations,filter_count.py,39.97582769393921
simple_operations,filter_count.py,38.62773585319519
simple_operations,filter_count.py,35.11630296707153
simple_operations,filter_count.py,36.413485527038574
simple_operations,filter_count.py,65.10336232185364
simple_operations,filter_count.py,45.63777780532837
simple_operations,filter_count.py,42.62380313873291
simple_operations,filter_count.py,46.464272022247314
simple_operations,filter_count.py,53.84253692626953
simple_operations,filter_count.py,36.427040815353394
simple_operations,filter_reduce.py,70.87950420379639
simple_operations,filter_reduce.py,79.1074275970459
simple_operations,filter_reduce.py,71.88734745979309
simple_operations,filter_reduce.py,73.30376172065735
simple_operations,filter_reduce.py,85.19829893112183
simple_operations,filter_reduce.py,111.95882630348206
simple_operations,filter_reduce.py,76.31606888771057
simple_operations,filter_reduce.py,90.83737540245056
simple_operations,filter_reduce.py,81.76918363571167
simple_operations,filter_reduce.py,80.5488691329956
simple_operations,map_reduce.py,59.70759701728821
simple_operations,map_reduce.py,66.6287248134613
simple_operations,map_reduce.py,58.13003659248352
simple_operations,map_reduce.py,66.3712317943573
simple_operations,map_reduce.py,72.66570782661438
simple_operations,map_reduce.py,85.67548036575317
simple_operations,map_reduce.py,61.146931171417236
simple_operations,map_reduce.py,64.00705862045288
simple_operations,map_reduce.py,70.6198673248291
simple_operations,map_reduce.py,71.54606747627258
simple_operations,map_sum.py,83.30223751068115
simple_operations,map_sum.py,80.13142347335815
simple_operations,map_sum.py,98.19759225845337
simple_operations,map_sum.py,106.78148889541626
simple_operations,map_sum.py,87.13312840461731
simple_operations,map_sum.py,77.18572115898132
simple_operations,map_sum.py,72.37698364257812
simple_operations,map_sum.py,80.91137099266052
simple_operations,map_sum.py,74.77125334739685
simple_operations,map_sum.py,86.52426981925964
simple_operations,multiple_loop.py,46.41825890541077
simple_operations,multiple_loop.py,42.98978352546692
simple_operations,multiple_loop.py,94.36183643341064
simple_operations,multiple_loop.py,59.62974572181702
simple_operations,multiple_loop.py,53.856590032577515
simple_operations,multiple_loop.py,44.19354224205017
simple_operations,multiple_loop.py,41.971436738967896
simple_operations,multiple_loop.py,44.08282732963562
simple_operations,multiple_loop.py,56.78870630264282
simple_operations,multiple_loop.py,54.97054481506348
simple_operations,reduce.py,48.53657817840576
simple_operations,reduce.py,45.37090563774109
simple_operations,reduce.py,63.67200565338135
simple_operations,reduce.py,45.70190787315369
simple_operations,reduce.py,46.433371782302856
simple_operations,reduce.py,55.78414821624756
simple_operations,reduce.py,45.744218587875366
simple_operations,reduce.py,55.156585454940796
simple_operations,reduce.py,61.71074438095093
simple_operations,reduce.py,62.953768730163574
